name_list,address_list,maps_url,place_id,name_google,address_google,phone_local,phone_international,lat,lng,opening_hours,rating,total_ratings,website,business_status
ZUS Coffee – Temu Business Centre City Of Elmina,"No 5 (Ground Floor), Jalan Eserina AA U16/AA Elmina, East, Seksyen U16, 40150 Shah Alam, Selangor","https://www.google.com/maps/place/ZUS+Coffee+-+Temu+Business+Centre+City+Of+Elmina/@3.1858012,101.5239783,712m/data=!3m2!1e3!4b1!4m6!3m5!1s0x31cc4fef33ad5851:0x4e713b1b2136bea3!8m2!3d3.1858012!4d101.5265532!16s%2Fg%2F11kbljysxb?entry=tts&g_ep=EgoyMDI1MDEwNi4xIPu8ASoASAFQAw%3D%3D",ChIJUVitM-9PzDERo742IRs7cU4,ZUS Coffee - Temu Business Centre City Of Elmina,"No 5 (Ground Floor), Jalan Eserina AA U16/AA Elmina, East, Seksyen U16, 40150 Shah Alam, Selangor, Malaysia",012-816 1340,+60 12-816 1340,3.1858012,101.5265532,Monday: 8:00 AM – 9:40 PM; Tuesday: 8:00 AM – 9:40 PM; Wednesday: 8:00 AM – 9:40 PM; Thursday: 8:00 AM – 9:40 PM; Friday: 8:00 AM – 9:40 PM; Saturday: 8:00 AM – 9:40 PM; Sunday: 8:00 AM – 9:40 PM,4.1,95,https://zuscoffee.com/,OPERATIONAL
ZUS Coffee – Spectrum Shopping Mall,"Lot CW-5 Cafe Walk, Ground Floor Spectrum Shopping Mall Jalan Wawasan Ampang, 4, 2, Bandar Baru Ampang, 68000 Ampang, Selangor","https://www.google.com/maps/place/ZUS+Coffee+-+Spectrum+Shopping+Mall/@3.1456372,101.7619856,712m/data=!3m3!1e3!4b1!5s0x31cc36e4a803ce99:0xdd3da8445e8375b1!4m6!3m5!1s0x31cc3795325d8e77:0xe105043c139baa7c!8m2!3d3.1456372!4d101.7645605!16s%2Fg%2F11rqtw1wvc?entry=tts&g_ep=EgoyMDI1MDEwNi4xIPu8ASoASAFQAw%3D%3D",ChIJd45dMpU3zDERfKqbEzwEBeE,ZUS Coffee - Spectrum Shopping Mall,"Lot CW-5 Cafe Walk, Ground Floor Spectrum Shopping Mall Jalan Wawasan Ampang, 4, 2, Bandar Baru Ampang, 68000 Ampang, Selangor, Malaysia",012-816 1340,+60 12-816 1340,3.1456372,101.7645605,Monday: 8:00 AM – 9:40 PM; Tuesday: 8:00 AM – 9:40 PM; Wednesday: 8:00 AM – 9:40 PM; Thursday: 8:00 AM – 9:40 PM; Friday: 8:00 AM – 9:40 PM; Saturday: 8:00 AM – 9:40 PM; Sunday: 8:00 AM – 9:40 PM,4,208,https://zuscoffee.com/,OPERATIONAL
ZUS Coffee – Bandar Menjalara,,"https://www.google.com/maps/place/ZUS+Coffee+-+Bandar+Menjalara/@3.1950509,101.6272914,712m/data=!3m2!1e3!4b1!4m6!3m5!1s0x31cc4700376cb0cf:0x1d496f7319d176bb!8m2!3d3.1950509!4d101.6298663!16s%2Fg%2F11spwrshf_?sca_esv=cefaafe02d65fc56&rlz=1C1CHZN_enMY1131MY1131&output=search&q=ZUS+Coffee+-+Bandar+Menjalara&source=lnms&fbs=AEQNm0Aa4sjWe7Rqy32pFwRj0UkW1DRbm01j6DCVS0r1sTxn7pvw1ZnNyZYKWuMR5GMUVE-eUV1Mkecxg7qHZ-qzjl4_1hhd6JixNHvt0TdqRygT7LP72ImbvndwrZe2NId1PIZGkbnzRiDk_g4BL3XtDc-JWaHAVO15Tb2-D9Yc7DeRoywefwa_mAS6P19PiBZQjmTCq_ZCdRBG0vaIpVkLe7S-w8m94Q&ved=1t:200715&ictx=111&entry=tts&g_ep=EgoyMDI1MDEwNi4xIPu8ASoASAFQAw%3D%3D",ChIJz7BsNwBHzDERu3bRGXNvSR0,ZUS Coffee - Bandar Menjalara,"37, Jalan 3/62a, Bandar Menjalara, 52200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",012-816 1340,+60 12-816 1340,3.1950509,101.6298663,Monday: 8:00 AM – 9:40 PM; Tuesday: 8:00 AM – 9:40 PM; Wednesday: 8:00 AM – 9:40 PM; Thursday: 8:00 AM – 9:40 PM; Friday: 8:00 AM – 9:40 PM; Saturday: 8:00 AM – 9:40 PM; Sunday: 8:00 AM – 9:40 PM,4,206,https://zuscoffee.com/,OPERATIONAL
"ZUS Coffee – Jabatan Peguam Negara,  Putrajaya",,"https://www.google.com/maps/place/ZUS+Coffee+-+Jabatan+Peguam+Negara,+Putrajaya/@2.9056487,101.6816023,753m/data=!3m2!1e3!4b1!4m6!3m5!1s0x31cdb7005ea2c68b:0x70d237e755d862f7!8m2!3d2.9056487!4d101.6816023!16s%2Fg%2F11lw5nln_h?entry=tts&g_ep=EgoyMDI0MTIwMy4wIPu8ASoASAFQAw%3D%3D",ChIJi8aiXgC3zTER92LYVec30nA,"ZUS Coffee - Jabatan Peguam Negara, Putrajaya","Bangunan Jabatan Peguam Negara AGC, Lot 1, Level 1, Presint 4, 62100 Putrajaya, Wilayah Persekutuan Putrajaya, Malaysia",012-816 1340,+60 12-816 1340,2.9056487,101.6816023,Monday: 7:00 AM – 5:40 PM; Tuesday: 7:00 AM – 5:40 PM; Wednesday: 7:00 AM – 5:40 PM; Thursday: 7:00 AM – 5:40 PM; Friday: 7:00 AM – 5:40 PM; Saturday: 7:00 AM – 5:40 PM; Sunday: 7:00 AM – 5:40 PM,3.8,41,https://zuscoffee.com/,OPERATIONAL
"ZUS Coffee – LSH33, Sentul",,"https://www.google.com/maps/place/ZUS+Coffee+-+LSH33,+Sentul/@3.209601,101.6921613,753m/data=!3m2!1e3!4b1!4m6!3m5!1s0x31cc470730584645:0x1b2d885b8c0cf099!8m2!3d3.209601!4d101.6921613!16s%2Fg%2F11y91k_ps4?entry=tts&g_ep=EgoyMDI0MTIwMy4wIPu8ASoASAFQAw%3D%3D",ChIJRUZYMAdHzDERmfAMjFuILRs,ZUS Coffee - LSH33 Sentul,"Laman Seri Harmoni (LSH33, 3, Jln Batu Muda Tambahan 3, Sentul, 51100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",012-816 1340,+60 12-816 1340,3.2090371,101.6922523,Monday: 7:00 AM – 10:40 PM; Tuesday: 7:00 AM – 10:40 PM; Wednesday: 7:00 AM – 10:40 PM; Thursday: 7:00 AM – 10:40 PM; Friday: 7:00 AM – 10:40 PM; Saturday: 7:00 AM – 10:40 PM; Sunday: 7:00 AM – 10:40 PM,4.1,106,https://zuscoffee.com/,OPERATIONAL
"ZUS Coffee – Bandar Tun Hussein Onn, Cheras","No 48A Jalan Suarasa 8/4, Bandar Tun Hussein Onn, 43200 Cheras, Selangor","https://www.google.com/maps/place/ZUS+Coffee+-+Bandar+Tun+Hussein+Onn,+Cheras/@3.0473093,101.7591785,753m/data=!3m2!1e3!4b1!4m6!3m5!1s0x31cc35d7f9259c33:0x9de4eaef52441069!8m2!3d3.0473093!4d101.7591785!16s%2Fg%2F11wmkdhvbs?entry=tts&g_ep=EgoyMDI0MTIwMy4wIPu8ASoASAFQAw%3D%3D",ChIJM5wl-dc1zDERaRBEUu_q5J0,"ZUS Coffee - Bandar Tun Hussein Onn, Cheras","48A, Jalan Suarasa 8/4, Tun Hussein Onn, 43200 Cheras, Selangor, Malaysia",012-816 1340,+60 12-816 1340,3.0473093,101.7591785,Monday: 7:00 AM – 11:00 PM; Tuesday: 7:00 AM – 11:00 PM; Wednesday: 7:00 AM – 11:00 PM; Thursday: 7:00 AM – 11:00 PM; Friday: 7:00 AM – 11:00 PM; Saturday: 7:00 AM – 11:00 PM; Sunday: 7:00 AM – 11:00 PM,4.3,131,https://zuscoffee.com/,OPERATIONAL
ZUS Coffee – AEON BiG Wangsa Maju,"Lot F1.11 (First Floor), AEON BiG Wangsa Maju, 6, Jalan 8/27A, Section 5, Wangsa Maju, 53300, Kuala Lumpur, Wilayah Persekutuan","https://www.google.com/maps/place/ZUS+Coffee+-+AEON+BiG+Wangsa+Maju/@3.1992029,101.7384684,1506m/data=!3m1!1e3!4m7!3m6!1s0x31cc39fdabd5412d:0xe76cc7a2052734a7!8m2!3d3.1962007!4d101.7427716!15sCiFaVVMgQ29mZmVlIC0gQUVPTiBCaUcgV2FuZ3NhIE1hanVaISIfenVzIGNvZmZlZSBhZW9uIGJpZyB3YW5nc2EgbWFqdZIBBGNhZmXgAQA!16s%2Fg%2F11y91lm9gq?entry=tts&g_ep=EgoyMDI0MTIwMy4wIPu8ASoASAFQAw%3D%3D",ChIJLUHVq_05zDERpzQnBaLHbOc,ZUS Coffee - AEON BiG Wangsa Maju,"6, Section 5, AEON BIG, F1 - 11, Jalan 8/27a, Wangsa Maju, 53300 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",012-816 1340,+60 12-816 1340,3.1965542,101.7433836,Monday: 10:00 AM – 9:40 PM; Tuesday: 10:00 AM – 9:40 PM; Wednesday: 10:00 AM – 9:40 PM; Thursday: 10:00 AM – 9:40 PM; Friday: 10:00 AM – 9:40 PM; Saturday: 10:00 AM – 9:40 PM; Sunday: 10:00 AM – 9:40 PM,4.1,18,https://zuscoffee.com/,OPERATIONAL
ZUS Coffee – Cheras Business Centre,"No 6 Jalan 5/101C, Cheras Business Centre, 56100 Cheras, Kuala Lumpur","https://www.google.com/maps/place/ZUS+Coffee+-+Cheras+Business+Centre/@3.1008414,101.7405807,753m/data=!3m2!1e3!4b1!4m6!3m5!1s0x31cc350019218b3b:0x96609dec501be2f0!8m2!3d3.1008414!4d101.7405807!16s%2Fg%2F11wqs8rvhc?entry=tts&g_ep=EgoyMDI0MTIwMy4wIPu8ASoASAFQAw%3D%3D",ChIJO4shGQA1zDER8OIbUOydYJY,ZUS Coffee - Cheras Business Centre,"6, Jalan 5/101c, Cheras Business Centre, 56100 Cheras, Wilayah Persekutuan Kuala Lumpur, Malaysia",012-816 1340,+60 12-816 1340,3.1000658,101.7404302,Monday: 7:00 AM – 9:40 PM; Tuesday: 7:00 AM – 9:40 PM; Wednesday: 7:00 AM – 9:40 PM; Thursday: 7:00 AM – 9:40 PM; Friday: 7:00 AM – 9:40 PM; Saturday: 7:00 AM – 9:40 PM; Sunday: 7:00 AM – 9:40 PM,4.7,183,https://zuscoffee.com/,OPERATIONAL
"ZUS Coffee – Damansara Perdana, Petaling Jaya","12-1 (Ground floor), Jalan PJU 8/5E, Bandar Damansara Perdana, 47820 Petaling Jaya, Selangor.","https://www.google.com/maps/place/ZUS+Coffee+-+Damansara+Perdana,+Petaling+Jaya/@3.1661509,101.6065596,753m/data=!3m2!1e3!4b1!4m6!3m5!1s0x31cc4fc50069b499:0x9a844d91b0c7ed7!8m2!3d3.1661509!4d101.6065596!16s%2Fg%2F11wfvjn7mg?entry=tts&g_ep=EgoyMDI0MTIwMy4wIPu8ASoASAFQAw%3D%3D",ChIJmbRpAMVPzDER134MG9lEqAk,"ZUS Coffee - Damansara Perdana, Petaling Jaya","12-1 (Ground floor, Jalan PJU 8/5e, Bandar Damansara Perdana, 47820 Petaling Jaya, Selangor, Malaysia",012-816 1340,+60 12-816 1340,3.1659786,101.6061283,Monday: 7:00 AM – 10:40 PM; Tuesday: 7:00 AM – 10:40 PM; Wednesday: 7:00 AM – 10:40 PM; Thursday: 7:00 AM – 10:40 PM; Friday: 7:00 AM – 10:40 PM; Saturday: 7:00 AM – 10:40 PM; Sunday: 7:00 AM – 10:40 PM,4,43,https://zuscoffee.com/,OPERATIONAL
"ZUS Coffee – Bandar Damai Perdana, Cheras","No 19G (Ground floor), Jalan Damai Perdana 1/9b, Bandar Damai Perdana, 56000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur","https://www.google.com/maps/place/ZUS+Coffee+-+Bandar+Damai+Perdana,+Cheras/@3.0457374,101.7396419,753m/data=!3m2!1e3!4b1!4m6!3m5!1s0x31cc35c7020c866b:0x4e7c0a28efd86bf5!8m2!3d3.0457374!4d101.7396419!16s%2Fg%2F11wj7s2302?entry=tts&g_ep=EgoyMDI0MTIwMy4wIPu8ASoASAFQAw%3D%3D",ChIJa4YMAsc1zDER9WvY7ygKfE4,"ZUS Coffee - Bandar Damai Perdana, Cheras","No 19G (Ground floor, Jalan Damai Perdana 1/9b, Bandar Damai Perdana, 56000 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",012-816 1340,+60 12-816 1340,3.0457474,101.7396805,Monday: 8:00 AM – 10:00 PM; Tuesday: 8:00 AM – 10:00 PM; Wednesday: 8:00 AM – 10:00 PM; Thursday: 8:00 AM – 10:00 PM; Friday: 8:00 AM – 10:00 PM; Saturday: 8:00 AM – 10:00 PM; Sunday: 8:00 AM – 10:00 PM,4,55,https://zuscoffee.com/,OPERATIONAL
